file,original,gzip,rar,xz
test_data/urandom/urandom_100000_031.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_032.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_033.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_034.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_035.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_036.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_037.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_038.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_039.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_040.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_041.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_042.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_043.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_044.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_045.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_046.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_047.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_048.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_049.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_050.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_051.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_052.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_053.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_054.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_055.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_056.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_057.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_058.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_059.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_060.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_061.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_062.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_063.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_064.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_065.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_066.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_067.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_068.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_069.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_070.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_071.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_072.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_073.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_074.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_075.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_076.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_077.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_078.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_079.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_080.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_081.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_082.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_083.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_084.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_085.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_086.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_087.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_088.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_089.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_090.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_091.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_092.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_093.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_094.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_095.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_096.bin,12500,12546,12714,12560
